study_accession,n_runs,n_runs_profiled,frac_non_metagenome_strict,frac_non_metagenome_loose,frac_named_human_host,frac_named_nonhuman_host,frac_named_microbe,frac_synthetic,frac_rna_strict,frac_low_complexity_profiled,frac_low_depth_profiled,frac_predicted_ecological_profiled,frac_low_ksf_high_depth_profiled,median_spf,median_known_species_fraction,median_root_coverage,study_title,triage_verdict,reason_code,auditor_attention,auditor_reason
PRJNA413160,16,15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,95.27,84.12,1408.34,Metagenome data from infant stools samples raw sequence reads,include,,False,
PRJNA413162,19,18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.1111111111111111,91.65,88.145,1165.965,Metagenome data from infant (PD and ProD) stools samples raw sequence reads,include,,False,
PRJNA417283,86,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1625,0.0,0.1,0.2375,21.67,75.01499999999999,261.135,human metagenome,include,,False,
PRJNA417343,269,237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27848101265822783,0.0,0.0,0.0,88.9,96.23,632.11,preterm infant gut metagenomes (NIH Y5 Cohort),include,,False,
PRJNA422569,31,25,0.0,0.6129032258064516,0.0,0.0,0.0,0.0,0.0,0.36,0.2,0.28,0.08,13.7,75.27,42.2,Tracing mother-infant transmission of bacteriophages by means of a novel tool for analysis of shotgun metagenomics datasets: METAnnotatorX,include,,False,
PRJNA433393,14,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.62,94.57,974.57,infant gut metagenomes (NIHL1),include,,False,
PRJNA436562,46,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.0,0.0,68.73,91.97,1352.97,Bangladesh Infant Gut Metagenomes,include,,False,
PRJNA46337,1153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,The Neonatal Microbiome and Necrotizing Enterocolitis,include,,False,
PRJNA473126,447,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023474178403755867,0.0,0.0,0.004694835680751174,55.41,90.24,220.52,Infant Diet and Maternal Gestational Weight Gain Influence Functional Maturation of the Infant Gut Microbiome,include,,False,
PRJNA475246,286,228,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.008771929824561403,0.0,0.008771929824561403,64.495,87.475,688.775,Strain-level identification of mother-to-child bacterial transmission during the first few months of life,include,,False,
PRJNA477357,116,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.01282051282051282,0.0,0.02564102564102564,64.525,93.44999999999999,317.315,Microbiome in Severe Combined Immunodeficiency (X-linked),include,,False,
PRJNA482729,24,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22,82.43,8764.125,"Effect of native and acetylated high amylose maize starch on fecal pH, short chain fatty acid concentrations, and microbiota in a cohort of normal and stunted children in southern India",include,,False,
PRJNA484151,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.41,86.83,223.74,Rural and Urban infant''s fecal microbiota study,include,,False,
PRJNA485056,112,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.79499999999999,77.03999999999999,1325.785,Metagenomic sequencing of stool samples from rural communities from north-eastern Madagascar,include,,False,
PRJNA486782,199,185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.005405405405405406,69.45,90.57,1111.21,Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease,include,,False,
PRJNA489090,429,372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.008064516129032258,57.495000000000005,87.34,170.9,"Human infant gut metagenome, infant shotgun sequencing",include,,False,
PRJNA489693,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.11764705882352941,0.0,70.99,93.47,738.27,Microbial Diversity of NICU Infant Feeding Tubes,include,,False,
PRJNA497734,1154,1048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01431297709923664,0.0,0.0,0.01049618320610687,71.055,83.6,204.77499999999998,Longitudinal gut microbiome sequence data combined from several DIABIMMUNE microbiome studies,include,,False,
PRJNA504891,50,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,92.35,72.86,1733.87,Metagenomic sequencing of stool samples from Ethiopian individuals,include,,False,
PRJNA508395,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Nanopore long read assembly of the human gut metagenome,include,,False,
PRJNA510445,1279,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.004340277777777778,90.505,90.88,637.185,The relationship of fecal microbiomes and nutritional status in cystic fibrosis,include,,False,
PRJNA521878,64,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37209302325581395,0.0,0.0,0.023255813953488372,89.3,92.07,155.98,Gut metagenome of infants in the neonatal intensive care unit,include,,False,
PRJNA524703,440,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.1971153846153846,0.004807692307692308,0.014423076923076924,56.504999999999995,83.71000000000001,127.44,Human infant gut virome,include,,False,
PRJNA526942,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"uncultured crAssphage strain:ZA | isolates :M186D4, C0521BW15,C0526BW15, C0521BD4, and C0531BW4",include,,False,
PRJNA529124,44,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.18,75.47,1495.52,Metagenomic sequencing of stool samples from Ghanaian individuals,include,,False,
PRJNA529400,68,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,98.42,76.16,1625.44,Homo sapiens Metagenome,include,,False,
PRJNA532310,46,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.022727272727272728,87.31,85.57,711.01,Infant gut metagenome,include,,False,
PRJNA542703,30,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.31,94.5,470.34,Whole genome metagenomic analysis of the gut microbiome of differently fed infants,include,,False,
PRJNA543520,64,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771929824561403,0.0,0.0,0.0,84.62,86.31,334.85,Impact of intrapartum and postnatal antibiotics on the gut microbiome and emergence of antimicrobial resistance in infants,include,,False,
PRJNA543967,126,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,100.0,91.38499999999999,1393.275,human gut metagenome Metagenome,include,,False,
PRJNA544346,112,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,fecal sample collected healthy human Raw sequence reads,include,,False,
PRJNA549787,165,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02197802197802198,0.0,0.0,0.02197802197802198,60.89,90.19,264.94,"South African HIV-exposed, uninfected infant gut microbiomes",include,,False,
PRJNA555020,20,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5833333333333334,0.0,0.08333333333333333,0.8300000000000001,0.0,1.31,"Fecal microbiota in early life, annotated shotgun sequencing data",include,,False,
PRJNA557731,191,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20869565217391303,0.0,0.0,0.017391304347826087,77.56,92.71,267.06,Bacterial colonization reprograms the neonatal gut metabolome,include,,False,
PRJNA588513,942,852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011737089201877935,96.265,91.36,4150.175,human gut metagenome Metagenome,include,,False,
PRJNA592261,211,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017241379310345,0.3448275862068966,0.008620689655172414,0.19827586206896552,0.49,0.0,3.9349999999999996,Infant virome during the first year of life,include,,False,
PRJNA595749,753,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,97.27,95.41,1358.39,"COSMIC2 - Persistence of birth mode-dependent effects on gut microbiome composition, immune system stimulation and antimicrobial resistance in the first year of life",include,,False,
PRJNA606271,20,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.17,93.21,572.49,Neonatal antibiotic exposure impairs child growth during the first six years of life,include,,False,
PRJNA60717,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.745,94.385,561.36,Metagenomic analysis of infant stool sample,include,,False,
PRJNA613032,20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,0.0,0.0,2.215,12.59,2.475,"Fecal microbiota in early life and effects of early life antibiotics, annotated shotgun sequencing data",include,,False,
PRJNA613054,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"Fecal resistome in early life and effects of early life antibiotics, annotated shotgun sequencing data",include,,False,
PRJNA61745,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Strain-resolved community genomic analysis of gut microbial colonization in a premature infant,include,,False,
PRJNA629392,21,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,91.99,82.11,906.31,Metabolic recovery with eculizumab precision therapy of CHAPLE disease,include,,False,
PRJNA630999,293,270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814814814814815,0.003703703703703704,0.011111111111111112,0.02962962962962963,92.56,98.215,2486.0600000000004,Premature infant microbiome Metagenome,include,,False,
PRJNA633576,227,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.004830917874396135,0.00966183574879227,87.01,94.69,1835.48,"Metagenomic survey of the gut microbiome of term infants in the United States reveals widespread dysbiosis, absence of B. infantis, and high abundance of antibiotic resistance genes.",include,,False,
PRJNA63661,3489,2590,0.0,0.002292920607623961,0.0,0.0,0.0,0.0,0.0,0.34826254826254827,0.023552123552123553,0.002702702702702703,0.01891891891891892,68.715,90.12,68.28,Microbial composition of samples from infant gut,include,,False,
PRJNA642723,2104,1916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012526096033402923,0.0,0.0,0.0,84.11,91.89500000000001,254.245,Gut Microbiome and Metabolome in Atopic Eczema Infants,include,,False,
PRJNA644725,150,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.22,0.02,0.32,1.18,15.29,6.9350000000000005,Metagenomic Sequencing of Stool Samples in Bangladeshi Infants: Virome Association with Poliovirus Shedding After Oral Poliovirus Vaccination,include,,False,
PRJNA648487,94,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.045,94.805,1841.025,Factors associated with the microbiome in moderate-late preterm babies - the DIAMOND trial - Shotgun Metagenomic data,include,,False,
PRJNA657818,263,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34513274336283184,0.08849557522123894,0.0,0.08849557522123894,28.43,75.785,113.16499999999999,Delivery mode impacts newborn gut colonization efficiency,include,,False,
PRJNA686821,128,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,94.255,6247.71,Shotgun metagenomics data from human stool microorganism Raw sequence reads,include,,False,
PRJNA687137,15,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,28.875,45.985,24.055,"SIgA binding bacteria in paired samples of maternal feces, breast milk, and infant feces",include,,False,
PRJNA688164,22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,99.87,94.82,19857.97,Role of synbiotics to prevalence of LRTinfections in infants:gut metagenomic analysis,include,,False,
PRJNA693793,304,39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.2564102564102564,2.36,37.76,10.75,BaBel Infant Gut Virome Raw Data,include,,False,
PRJNA695070,572,461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20824295010845986,0.0650759219088937,0.013015184381778741,0.12581344902386118,7.17,76.59,388.1,Transmission and formation of microbiota in the ealry life,include,,False,
PRJNA695570,1767,1614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024783147459727386,0.0,0.0,0.0,67.265,81.715,267.755,Human gut metagenomes of healthy mothers and their children,include,,False,
PRJNA698986,819,743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06191117092866756,0.0,0.005383580080753701,0.0013458950201884253,91.96,94.91,2564.33,Early-life metagenomes from human infant fecal samples with matched maternal sample,include,,False,
PRJNA701480,116,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1553398058252427,0.0,0.0,0.0,90.02,95.15,1152.21,Vaginal seeding in babies born by caesarean section (ECOBABe trial) - shotgun metagenomics data,include,,False,
PRJNA701982,67,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14516129032258066,0.0,0.0,0.08064516129032258,71.775,91.85,243.14,Antibiotic-driven intestinal dysbiosis in paediatric SBS alters microbiome functions and is associated with gut-derived blood stream infections throughout childhood,include,,False,
PRJNA706606,95,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.985,86.60499999999999,3597.02,Impact of Water Chlorination of Children's Gut Microbiomes in Bangladesh,include,,False,
PRJNA707065,20,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.84,90.31,1792.56,NiPPeR Study - pilot microbiome investigation,include,,False,
PRJNA715601,662,590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001694915254237288,85.94,93.03,1413.38,COPSAC corhot study of infant gut microbiome,include,,False,
PRJNA715615,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Rural infant gut microbiota,include,,False,
PRJNA716780,254,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0,0.0,0.0,88.285,86.095,1475.99,Mothers/children Metagenome,include,,False,
PRJNA717139,18,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,48.43,96.74,2244.37,"Genetic and behavioral adaptation of Candida parapsilosis to the microbiome of hospitalized infants revealed by in situ genomics, transcriptomics and proteomics",include,,False,
PRJNA725597,355,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.00625,0.0,0.1625,98.23,81.83,937.73,The role of maternal exposures on commensal microbes,include,,False,
PRJNA726032,40,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,84.49000000000001,93.16499999999999,1099.98,A synbiotic intervention modulates meta-omics signatures of gut redox potential and acidity in elective caesarean born infants,include,,False,
PRJNA726052,132,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.57,89.215,3700.58,"Effects of drinking water chlorination on childrens intestinal flora and resistomes in Dhaka, Bangladesh: a cluster-randomized controlled trial",include,,False,
PRJNA730640,40,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.029411764705882353,0.0,94.25,85.59,1760.68,The composition of gut microbiota in biliary atresia,include,,False,
PRJNA731529,13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.72,2484.73,Infant gut metagenome Metagenome,include,,False,
PRJNA733860,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Preterm infant fecal metagenome,include,,False,
PRJNA739008,434,396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012626262626262626,0.0025252525252525255,0.0,0.05808080808080808,53.875,78.81,266.775,Effect of amoxicillin prophylaxis on gut microbiome and resistome for severe acute malnutrition in Niger,include,,False,
PRJNA746509,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.565,94.23500000000001,106.175,Gut microbiota in an infant with propionic acidemia before and after probiotic supplementation,include,,False,
PRJNA747761,237,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,73.6,83.485,501.52,"Atlanta, USA and Maputo, Mozambique Children gut microbiome Metagenome",include,,False,
PRJNA748448,60,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.02631578947368421,0.0,0.0,35.41,87.445,55.415,Metagenomic WGS of Preterm Infant Skin and Stool,include,,False,
PRJNA751712,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,To Probiotic or not to probiotic: using metagenomics to compare the gut microbiome of infants who fulfill probiotic-treatment criteria with those who do not.,include,,False,
PRJNA752686,42,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,89.66,94.96000000000001,2010.495,Metagenomic Profile of the Gut Microbiome of Preterm Infants and its Association to Infant's Diet,include,,False,
PRJNA762668,33,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,52.92,91.78,592.23,Longitudinal and comparative analysis of Tunisian newborns gut microbiota according to delivery mode,include,,False,
PRJNA763908,66,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.016666666666666666,0.0,92.79499999999999,93.805,1677.8000000000002,Intestinal flora sequencing of Chinese infants,include,,False,
PRJNA770101,71,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0,0.0,91.17,91.3,3147.92,the transmission of probio-m9 from mother to infant,include,,False,
PRJNA772730,25,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,89.815,97.24000000000001,2058.34,The FOUNDATION Study: Hospital Formulation Of B. infantis EVC001 Utilized In The NICU To Demonstrate Tolerability In Our Preterm Neonates,include,,False,
PRJNA774819,29,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.89,93.805,490.17,Highly specialized carbohydrate metabolism capability in Bifidobacterium strain associated with intestinal barrier maturation in early preterm infants,include,,False,
PRJNA776332,61,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38596491228070173,0.0,0.017543859649122806,0.0,90.78,96.06,619.67,Altered gut microbiome and fecal immune phenotype in early preterm infants with leaky gut,include,,False,
PRJNA778397,75,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,95.695,96.00999999999999,2957.6949999999997,Fecal Metagenome Sequences of STRONG Kids 2 Birth Cohort Study,include,,False,
PRJNA782810,264,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,68.41,78.84,15.355,Exploring the species-level infant gut bacterial biodiversity through a meta-analysis and the formulation of an optimized culture medium,include,,False,
PRJNA798191,51,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.025000000000006,96.405,1202.99,Bamboo microbiota study in infants,include,,False,
PRJNA799247,2171,1932,0.03132197144173192,0.03132197144173192,0.0,0.0,0.03132197144173192,0.0,0.0,0.2453416149068323,0.005175983436853002,0.0010351966873706005,0.011387163561076604,68.685,96.71,211.47,Metagenomics of preterm infant stool,include,,False,
PRJNA806984,1347,1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04866180048661801,0.0,0.0,0.009732360097323601,96.49,88.27,1073.23,"Microbiota and Health Study (Dhaka, Bangladesh)",include,,False,
PRJNA807448,459,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13106796116504854,0.0,0.0,0.0024271844660194173,99.08500000000001,94.07499999999999,1752.615,The Antibiotics and Immune Responses Study,include,,False,
PRJNA810575,44,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.56,93.64,16405.6,Metagenomes of maternal and infant faecal samples,include,,False,
PRJNA812583,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.73,83.93,1467.28,Strain-level metagenomics reveal microbial transfer from donor to infant after fecal microbiota transplantation of pregnant patient,include,,False,
PRJNA819247,40,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,77.08,97.34,497.15,Infant gut microbiome Raw sequence reads,include,,False,
PRJNA821542,918,848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015330188679245283,0.0011792452830188679,0.0011792452830188679,0.0011792452830188679,90.525,86.64,474.07,Longitudinal gut metagenomes from mothers and their infants in the EDIA study,include,,False,
PRJNA821920,37,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,79.13,86.305,32.655,Mental Health Screening for Babies. What can we learn from infant and caregiver behaviors during immunization appointments?,include,,False,
PRJNA833139,43,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.02631578947368421,75.88499999999999,86.31,387.65999999999997,Gender-specific cross-generational microbial persistence of human gut microbes,include,,False,
PRJNA834762,83,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0392156862745098,62.76,74.04,63.42,LMIC human infant stool whole-genome shotgun metagenomic sequencing,include,,False,
PRJNA835321,22,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,71.04,92.61,1196.2,Whole metagenome analysis of Infant gut and breast milk microbiota,include,,False,
PRJNA835720,381,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03816793893129771,0.0,0.007633587786259542,0.0,25.47,85.93,920.21,Human feces Viral/Bacterial Metagenome,include,,False,
PRJNA837236,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,76.2,68.88,126.5,LMIC human infant stool whole-genome shotgun metagenomic sequencing to validate qPCR Metagenome,include,,False,
PRJNA838575,2934,2665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0803001876172608,0.0,0.0,0.052157598499061916,61.05,86.15,333.96,CHILD Infant Stool Raw sequence reads,include,,False,
PRJNA843963,177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,CAGED: CAMPYLOBACTER GENOMICS AND ENVIRONMENTAL ENTERIC DYSFUNCTION,include,,False,
PRJNA844516,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"Investigation of the Interrelationship among Mental, Physical and Intestinal Microbiota in Postpartum Mothers and Their Infants.",include,,False,
PRJNA845806,391,366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.0,0.02185792349726776,88.08,84.43,817.51,Trial of Diet in Gestational Diabetes Mellitus: Metabolic Consequences to Mother and Offspring (CHOICE),include,,False,
PRJNA850838,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,99.33500000000001,95.41,1684.6399999999999,Metagenomic analysis of intestinal oligosaccharides in infants,include,,False,
PRJNA853174,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,76.53,94.28999999999999,2804.54,Infant gut microbiome changes and recovers after norovirus infection,include,,False,
PRJNA858926,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Microbiological analysis of breast milk and infant feces,include,,False,
PRJNA862908,151,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,81.715,84.945,283.385,Human gut metagenome during and after enteric infection Metagenome,include,,False,
PRJNA869587,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,human viral metagenome Metagenome,include,,False,
PRJNA870588,114,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29473684210526313,0.0,0.0,0.0,84.64,97.44,1576.89,Longitudinal metagenomic of preterm infants with cholestasis,include,,False,
PRJNA872399,361,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724137931034483,0.006896551724137931,0.0,0.027586206896551724,88.315,93.32499999999999,127.91,Preterm infants at low risk for early-onset sepsis differ in early fecal microbiome assembly,include,,False,
PRJNA884103,449,380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22631578947368422,0.002631578947368421,0.0,0.02894736842105263,62.980000000000004,95.695,200.885,Gut residence of bloodstream infection pathogens in the NICU,include,,False,
PRJNA884688,109,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,94.195,80.63,127.735,Human gut microbiota and protein source,include,,False,
PRJNA889771,140,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19298245614035087,0.0,0.017543859649122806,0.017543859649122806,89.605,93.045,417.8,"Raw reads of the microbiota of premature infant mouth, skin, and gut",include,,False,
PRJNA893826,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Culture-independent long read metagenomic diagnostics for genomic surveillance and infection control of pathogenic bacteria in clinical settings,include,,False,
PRJNA894152,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Long read infant/young children fecal and environmental samples,include,,False,
PRJNA895372,28,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.59,94.29,1162.39,Microbiome function and neurodevelopment in Black infants: Vitamin B12 biosynthesis emerges as a key factor,include,,False,
PRJNA898628,220,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,94.34,95.32,2333.7749999999996,PINGU Fecal samples Metagenome,include,,False,
PRJNA900041,830,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,ITS Bifidobacteria human Gut,include,,False,
PRJNA900180,830,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,ITS Bifidobacteria human Gut #2,include,,False,
PRJNA903921,1033,890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043820224719101124,0.0,0.0,0.0044943820224719105,62.135000000000005,89.965,508.515,Gut Mycobiome Maturation and Its Determinants during Infancy: A Comparison of Shotgun Metagenomic and ITS2 Amplicon-Based Sequencing Approaches,include,,False,
PRJNA906107,156,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11805555555555555,0.0,0.2569444444444444,0.034722222222222224,83.555,90.16,412.91499999999996,Characterizing microbiome dynamics among maternal and donor breastmilk and infants,include,,False,
PRJNA911205,183,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.0,0.0,0.0,92.545,93.16499999999999,1874.5,Psychosocial adversity experienced in utero and early life is associated with variation in gut microbiota,include,,False,
PRJNA916952,1144,449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028953229398664,0.18485523385300667,0.0378619153674833,0.31625835189309576,1.56,29.6,18.1,Stanford's Outcomes Research in Kids (STORK) Virome,include,,False,
PRJNA927010,213,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15555555555555556,0.0,0.0,0.0,72.12,95.34,426.16,PREVAIL Birth Cohort Infant Gut Metagenome,include,,False,
PRJNA938144,63,61,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,95.76,95.04,3297.52,HOLA gut microbiome,include,,False,
